INSTITUTION,GROUP,INTEREST % p.a,PERIOD,INVESTMENT (Rs),INVESTOR TYPE,TAX STATUS
Vijaya Bank,Public Sector / Nationalized Banks,7,1Year,Less than Rs. 1 cr,Senior Citizen,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,7,2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,7,3 years to 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,7,More than 1year to less than 2 Years,Less than Rs. 1 cr,Senior Citizen,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,7,More than 2 years to less than 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7,3 months to less than 6 months,Less than Rs. 1cr,General,Taxable
Yes Bank,Indian Private Sector Banks,7,6 months to less than 9 months,Less than Rs. 1cr,General,Taxable
Yes Bank,Indian Private Sector Banks,7,9 months to less than 1 year,Less than Rs. 1cr,General,Taxable
Zoroastrian Co-operative Bank,Cooperative Banks,7,1year upto 24 months,Less than Rs. 1 cr,General,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,7,Mercantile Co-operative Tax Savings Scheme - 5 Years,Upto Rs. 1 lakh,General,Tax Saving
Bombay Mercantile Co-operative Bank,Cooperative Banks,7,Mercantile Co-operative Tax Savings Scheme - 5 Years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Canara Bank,Public Sector / Nationalized Banks,7,Canara Tax Saver Scheme - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Corporation Bank,Public Sector / Nationalized Banks,7,Corp Tax Saver Plus - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Central Bank of India,Public Sector / Nationalized Banks,7,CENT Tax Saving Deposit - 5 Years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Federal Bank,Indian Private Sector Banks,7,Federal Tax Savings Deposit Scheme (FTSD) - 5 Years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
J&K Bank,Indian Private Sector Banks,7,Tax Saver Term Deposit Scheme - 5 to 10 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Karnataka Bank,Indian Private Sector Banks,7,KBL - Tax Planner - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Kapole Co-operative Bank,Cooperative Banks,7,Tax Savings Scheme - 5 Years,Upto Rs. 1 lakh,General,Tax Saving
Lakshmi Vilas Bank,Indian Private Sector Banks,7,Tax Saver Deposits - 5 years,Upto Rs. 1 lakh,General,Tax Saving
Lakshmi Vilas Bank,Indian Private Sector Banks,7,Tax Saver Deposits - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Nainital Bank,Indian Private Sector Banks,7,Naini Tax Saver Scheme - 5 years to 10 Years,Upto Rs. 1 lakh,General,Tax Saving
Nainital Bank,Indian Private Sector Banks,7,Naini Tax Saver Scheme - 5 years to 10 Years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Oriental Bank of Commerce,Public Sector / Nationalized Banks,7,Oriental Bank Tax Saving - Term Deposit Scheme - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,7,PMCB Kar-Mukt Yojna - Tax Saver,Upto Rs. 1 lakh,General,Tax Saving
Saraswat Co-operative Bank,Cooperative Banks,7,Madhukar Tax Saving - 5 years,Up to Rs. 1 lakh,Senior Citizen,Tax Saving
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,7,SBBJ Tax Saver Term Deposit Scheme - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
State Bank of Mysore,Public Sector / Nationalized Banks,7,SBM TAX SAVER - 3 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
South Indian Bank,Indian Private Sector Banks,7,South Indian Bank Tax Gain - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
State Bank of Patiala,Public Sector / Nationalized Banks,7,SBP-Tax Saving Term Deposit Scheme-2006 - 5 Years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Thane Janata Sahakari Bank,Cooperative Banks,7,KAR-BACHAT - Tax Savings Scheme - 5 Years,Upto Rs. 1 lakh,General,Tax Saving
City Union Bank (CUB),Indian Private Sector Banks,6.95,Above 5 years and upto 10 years,Up to Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,6.95,1 year 1 day - 1 year 3 days,Less than Rs. 1 cr,General,Taxable
Nainital Bank,Indian Private Sector Banks,6.95,5 years and above upto 10 years,Less than Rs. 15 lakh,General,Taxable
The Ratnakar Bank,Indian Private Sector Banks,6.95,241 days to 364 days,Rs. 1 cr and above to upto Rs 3 cr,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.95,1 year,15 lakh and above,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.95,20 months 20 days,15 lakh and above,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.95,3 years & Above,15 lakh and above,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.95,Above 1 year to less than 20 months 20 days,15 lakh and above,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.95,Above 20 months 20 days too less than 3 years,15 lakh and above,General,Taxable
Union Bank of India,Public Sector / Nationalized Banks,6.95,180 days to less than 10 Month,Less than Rs. 1 cr,General,Taxable
Yes Bank,Indian Private Sector Banks,6.95,46 days to 90 days,Less than Rs. 1cr,General,Taxable
