INSTITUTION,GROUP,INTEREST % p.a,PERIOD,INVESTMENT (Rs),INVESTOR TYPE,TAX STATUS
Syndicate Bank,Public Sector / Nationalized Banks,5,61 days to 90 days,Rs. 25 cr to Less than Rs. 50cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5,91 days to 120 days,Rs. 25 cr to Less than Rs. 50cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5,61 days to 90 days,Rs. 5 cr to Less than Rs. 25cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5,91 days to 120 days,Rs. 5 cr to Less than Rs. 25cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5,61 days to 90 days,Rs. 50 cr to Less than Rs. 100cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5,91 days to 120 days,Rs. 50 cr to Less than Rs. 100cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5,27 days to 29 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5,30 days to 32 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5,33 days to 35 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5,36 days to 38 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5,39 days to 41 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5,42 days to 44 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5,45 days to 47 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,5,91 days to 180 days,Less than Rs. 1 cr,General,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,5,7 days to 14 days,Upto Rs. 15 lakh,General,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,5,7 days to 14 days,Upto Rs. 15 lakh,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,5,15 days to 29 days,Less than Rs. 15 lakh,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,5,15 days to 29 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Union Bank of India,Public Sector / Nationalized Banks,5,15 days to 30 days,Less than Rs. 1 cr,General,Taxable
Union Bank of India,Public Sector / Nationalized Banks,5,31 days to 45 days,Less than Rs. 1 cr,General,Taxable
Union Bank of India,Public Sector / Nationalized Banks,5,7 days to 14 days,Less than Rs. 1 cr,General,Taxable
United Bank of India,Public Sector / Nationalized Banks,5,91 days to 180 days,Less than Rs. 1 cr,General,Taxable
United Bank of India,Public Sector / Nationalized Banks,5,91 days to 180 days,Less than Rs. 1 cr,Senior Citizen,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,181 days to 210 days,25 crs and upto 50 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,211 days to 270 days,25 crs and upto 50 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,271 days to less than 1 years,25 crs and upto 50 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,91 days to 180 days,25 crs and upto 50 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,181 days to 210 days,50 crs and above,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,211 days to 270 days,50 crs and above,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,271 days to less than 1 years,50 crs and above,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,91 days to 180 days,50 crs and above,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,181 days to 210 days,above Rs. 5 Cr and less than 25 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,211 days to 270 days,above Rs. 5 Cr and less than 25 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,271 days to less than 1 years,above Rs. 5 Cr and less than 25 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,91 days to 180 days,above Rs. 5 Cr and less than 25 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,30 days to 45 days,less than Rs. 1 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,15 days to 29 days,less than Rs. 1 cr,Senior Citizen,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,7 days to 14 days,less than Rs. 1 cr,Senior Citizen,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,121 days to 180 days,Rs. 1 cr and above upto Rs. 5 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,181 days to less than 1 year,Rs. 1 cr and above upto Rs. 5 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5,91 days to 120 days,Rs. 1 cr and above upto Rs. 5 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,2 years,Rs. 1 cr to 5 crs,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,3 years to 5 years,Rs. 1 cr to 5 crs,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,5 years and above,Rs. 1 cr to 5 crs,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,91 days to 180 days,Rs. 1 cr to 5 crs,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,More than 2 years to less than 3 years,Rs. 1 cr to 5 crs,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,2 years,Rs. 100 cr to 200 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,3 years to 5 years,Rs. 100 cr to 200 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,5 years and above,Rs. 100 cr to 200 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,91 days to 180 days,Rs. 100 cr to 200 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,More than 2 years to less than 3 years,Rs. 100 cr to 200 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,2 years,Rs. 200 cr and above,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,3 years to 5 years,Rs. 200 cr and above,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,5 years and above,Rs. 200 cr and above,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,91 days to 180 days,Rs. 200 cr and above,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,More than 2 years to less than 3 years,Rs. 200 cr and above,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,2 years,Rs. 25 cr to 50 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,3 years to 5 years,Rs. 25 cr to 50 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,5 years and above,Rs. 25 cr to 50 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,91 days to 180 days,Rs. 25 cr to 50 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,More than 2 years to less than 3 years,Rs. 25 cr to 50 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,2 years,Rs. 5 cr to 25 crs,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,3 years to 5 years,Rs. 5 cr to 25 crs,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,5 years and above,Rs. 5 cr to 25 crs,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,91 days to 180 days,Rs. 5 cr to 25 crs,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,More than 2 years to less than 3 years,Rs. 5 cr to 25 crs,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,2 years,Rs. 50 cr to 75 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,3 years to 5 years,Rs. 50 cr to 75 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,5 years and above,Rs. 50 cr to 75 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,91 days to 180 days,Rs. 50 cr to 75 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,More than 2 years to less than 3 years,Rs. 50 cr to 75 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,2 years,Rs. 75 cr to 100 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,3 years to 5 years,Rs. 75 cr to 100 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,5 years and above,Rs. 75 cr to 100 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,91 days to 180 days,Rs. 75 cr to 100 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5,More than 2 years to less than 3 years,Rs. 75 cr to 100 cr,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.95,1 year and above to less than 2 years,Rs. 1 cr and above,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.95,2 years and above to less than 3 years,Rs. 1 cr and above,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.95,3 years and above to less than 5 years,Rs. 1 cr and above,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,4.95,15 days to 29 days,15 lakh and above,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,4.95,15 days to 29 days,15 lakh and above,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.9,1 year and above to less than 2 years,Rs. 1 cr and above,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.9,2 years and above to less than 3 years,Rs. 1 cr and above,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.9,3 years and above to less than 5 years,Rs. 1 cr and above,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.9,5 years and above to less than 8 years,Rs. 1 cr and above,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.9,8 years and above to 10 years,Rs. 1 cr and above,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.9,1 year,Rs. 1 cr and above,Senior Citizen,Taxable
HSBC,Foreign Banks,4.9,60 days to 89 days,Less than Rs. 1cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.85,1 year,Rs. 1 cr and above,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.8,121 days to 179 days,Rs. 1 cr and above,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.8,180 days to 269 days,Rs. 1 cr and above,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.8,270 days to less than 1 year,Rs. 1 cr and above,Senior Citizen,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.75,6 months to less than 9 months,Above Rs. 10 cr to less than Rs. 50 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.75,9 months to less than 1 year,Above Rs. 10 cr to less than Rs. 50 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.75,6 months to less than 9 months,Above Rs. 50 cr to less than Rs. 100 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.75,9 months to less than 1 year,Above Rs. 50 cr to less than Rs. 100 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.75,6 months to less than 9 months,Rs. 1 cr to less than Rs. 10 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.75,9 months to less than 1 year,Rs. 1 cr to less than Rs. 10 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.75,6 months to less than 9 months,Rs. 100 cr and Above,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.75,9 months to less than 1 year,Rs. 100 cr and Above,General,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,4.75,30 days to 90 days,Less than Rs. 15 lakh,General,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,4.75,15 days to 29 days,Rs. 15 lakh and above,Senior Citizen,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,4.75,15 days to 90 days,Less than Rs. 1cr,General,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,4.75,15 days to 90 days,Less than Rs. 1cr,Senior Citizen,Taxable
Bank of India,Public Sector / Nationalized Banks,4.75,15 days to 30 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of India,Public Sector / Nationalized Banks,4.75,31 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.75,46 days to 60 days,Less than Rs. 1cr,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.75,61 days to 90 days,Less than Rs. 1cr,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.75,121 days to 179 days,Rs. 1 cr and above,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.75,180 days to 269 days,Rs. 1 cr and above,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.75,270 days to less than 1 year,Rs. 1 cr and above,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,4.75,7 days to 14 days,Less than Rs. 10cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,4.75,7 days to 14 days,Less than Rs. 1cr,General,Taxable
Citi Bank,Foreign Banks,4.75,11 days to 14 days,Rs 1 cr less than 2 cr,General,Taxable
Deutsche Bank,Foreign Banks,4.75,30 days,Less than Rs. 1 cr,General,Taxable
Deutsche Bank,Foreign Banks,4.75,31 days to 45 days,Less than Rs. 1 cr,General,Taxable
Deutsche Bank,Foreign Banks,4.75,30 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,4.75,31 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,4.75,15 days to 29 days,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,4.75,15 days to 29 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,4.75,30 days to 45 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,4.75,7 days to 14 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,4.75,181 days to 270 days,Rs. 1 cr to less than Rs. 5 cr,General,Taxable
J&K Bank,Indian Private Sector Banks,4.75,91 days to 180 days,Rs. 1 cr to less than Rs. 5 cr,General,Taxable
J&K Bank,Indian Private Sector Banks,4.75,7 days to 30 days,Rs. 1 cr to less than Rs. 5 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,4.75,7 days to 14 days,Rs. 1 cr and above to Less than Rs. 5 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,4.75,30 days to 45 days,Less than Rs. 1 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,4.75,15 days to 29 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,4.75,7 days to 14 days,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.75,1 year to 455 days,Above Rs. 10 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.75,2 years to less than 3 years,Above Rs. 10 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.75,3 years to less than 5 years,Above Rs. 10 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.75,456 days to less than 2 years,Above Rs. 10 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.75,5 years and upto 10 years,Above Rs. 10 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.75,1 year to 455 days,Rs. 1 cr to 10 crs,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.75,2 years to less than 3 years,Rs. 1 cr to 10 crs,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.75,3 years to less than 5 years,Rs. 1 cr to 10 crs,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.75,456 days to less than 2 years,Rs. 1 cr to 10 crs,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,4.75,5 years and upto 10 years,Rs. 1 cr to 10 crs,Senior Citizen,Taxable
Saraswat Co-operative Bank,Cooperative Banks,4.75,31 days to 90 days,1 crore and above but below Rs. 3 cr,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,4.75,31 days to 90 days,1 crore and above but below Rs. 3 cr,Senior Citizen,Taxable
Saraswat Co-operative Bank,Cooperative Banks,4.75,31 days to 90 days,3 crore and above,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,4.75,31 days to 90 days,3 crore and above,Senior Citizen,Taxable
Saraswat Co-operative Bank,Cooperative Banks,4.75,31 days to 90 days,Less than Rs. 1 cr,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,4.75,31 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.75,15 days to 30 days,Less than Rs. 1cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.75,31 days to 45 days,Less than Rs. 1cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.75,46 days to 60 days,Less than Rs. 1cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.75,7 days to 14 days,Less than Rs. 1cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.75,15 days to 30 days,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.75,31 days to 45 days,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.75,46 days to 60 days,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,4.75,7 days to 14 days,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,4.75,1 year to 455 days,Rs. 1 cr and above upto Rs. 10 cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,4.75,2 years to less than 3 years,Rs. 1 cr and above upto Rs. 10 cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,4.75,3 year and toless than 5 years,Rs. 1 cr and above upto Rs. 10 cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,4.75,456 days to less than 2 years,Rs. 1 cr and above upto Rs. 10 cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,4.75,5 year and upto 10 years,Rs. 1 cr and above upto Rs. 10 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,4.75,15 days to 17 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,4.75,18 days to 20 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,4.75,21 days to 23 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,4.75,24 days to 26 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,4.75,27 days to 29 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,4.75,18 days to 20 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,4.75,21 days to 23 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,4.75,24 days to 26 days,Rs. 1 cr to Less than 2 cr,General,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,4.75,1 year to 455 days,Rs. 1 cr to Rs 5 crs,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,4.75,2 years to less than 3 years,Rs. 1 cr to Rs 5 crs,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,4.75,3 years to less than 5 years,Rs. 1 cr to Rs 5 crs,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,4.75,456 days to less than 2 year,Rs. 1 cr to Rs 5 crs,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,4.75,5 years to less than 10 years,Rs. 1 cr to Rs 5 crs,Senior Citizen,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,4.75,15 days to 90 days,Less than Rs. 1 cr,General,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,4.75,15 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
United Bank of India,Public Sector / Nationalized Banks,4.75,1 Year,Rs. 1 cr and above,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,1 years to less than 2 years,25 crs and upto 50 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,2 years to less than 3 years,25 crs and upto 50 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,3 years to less than 5 years,25 crs and upto 50 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,5 years and above,25 crs and upto 50 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,1 years to less than 2 years,50 crs and above,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,2 years to less than 3 years,50 crs and above,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,3 years to less than 5 years,50 crs and above,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,5 years and above,50 crs and above,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,1 years to less than 2 years,above Rs. 5 Cr and less than 25 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,2 years to less than 3 years,above Rs. 5 Cr and less than 25 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,3 years to less than 5 years,above Rs. 5 Cr and less than 25 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,5 years and above,above Rs. 5 Cr and less than 25 Cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,5 years and above,Rs. 1 cr and above upto Rs. 5 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,Above 1 year upto 2 years,Rs. 1 cr and above upto Rs. 5 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,Above 2 years upto 3 years,Rs. 1 cr and above upto Rs. 5 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,4.75,Above 3 years to less than 5 years,Rs. 1 cr and above upto Rs. 5 cr,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.7,15 days to 30 days,Less than Rs. 1cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.7,7 days to 14 days,Less than Rs. 1cr,Senior Citizen,Taxable
Allahabad Bank,Public Sector / Nationalized Banks,4.5,30 days to 45 days,Less than Rs. 1 crore,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.5,15 days to 45 days,Less than Rs. 1 crore,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,4.5,7 days to 14 days,Less than Rs. 1 crore,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,4.5,15 days to 29 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,4.5,15 days to 29 days,Rs. 15 lakh and above,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,7 days to 14 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,1 Year & above to less than 2 years,Rs. 1 cr and above to less than Rs. 10 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,2 years & above to less than 3 years,Rs. 1 cr and above to less than Rs. 10 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,3 Years & above to less than 5 years,Rs. 1 cr and above to less than Rs. 10 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,5 years & above and less than 8 years,Rs. 1 cr and above to less than Rs. 10 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,8 years & above to 10 years,Rs. 1 cr and above to less than Rs. 10 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,2 years & above to less than 3 years,Rs. 10 cr and above,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,3 Years & above to less than 5 years,Rs. 10 cr and above,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,364 days to 13 months,Rs. 10 cr and above,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,5 years & above and less than 8 years,Rs. 10 cr and above,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,7 days to 14 days,Rs. 10 cr and above,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,8 years & above to 10 years,Rs. 10 cr and above,General,Taxable
Bank of India,Public Sector / Nationalized Banks,4.5,Above 13 months to less than 2 years,Rs. 10 cr and above,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,Above 1 year and upto 2 years,Above Rs. 10 cr to Rs 25 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,Above 2 year and upto 3 years,Above Rs. 10 cr to Rs 25 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,Above 3 Years and upto 5 Years,Above Rs. 10 cr to Rs 25 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,Above 1 year and upto 2 years,Above Rs. 25 cr to Rs 50 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,Above 2 year and upto 3 years,Above Rs. 25 cr to Rs 50 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,Above 3 Years and upto 5 Years,Above Rs. 25 cr to Rs 50 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,Above 1 year and upto 2 years,Above Rs. 50 cr to Rs 100 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,Above 2 year and upto 3 years,Above Rs. 50 cr to Rs 100 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,Above 3 Years and upto 5 Years,Above Rs. 50 cr to Rs 100 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,15 days to 45 days,Less than Rs. 1 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,7 days to 14 days,Less than Rs. 1 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,1 year and above up to 2 years,Rs. 1 cr to Rs. 10 Cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,Above 2 Years and upto 3 Years,Rs. 1 cr to Rs. 10 Cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,Above 3 Years and upto 5 Years,Rs. 1 cr to Rs. 10 Cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,4.5,Above 5 Years and upto 10 Years,Rs. 1 cr to Rs. 10 Cr,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,4.5,31 days to 45 days,Less than Rs. 1cr,General,Taxable
Citi Bank,Foreign Banks,4.5,36 days to 45 days,Less than Rs. 1 cr,General,Taxable
Catholic Syrian Bank,Indian Private Sector Banks,4.5,30 days to 90 days,Rs. 1 cr and above,General,Taxable
Deutsche Bank,Foreign Banks,4.5,15 days to 29 days,Less than Rs. 1 cr,General,Taxable
Deutsche Bank,Foreign Banks,4.5,8 days to 14 days,Less than Rs. 1 cr,General,Taxable
Deutsche Bank,Foreign Banks,4.5,15 days to 29 days,Less than Rs. 1 cr,Senior Citizen,Taxable
